tweet,polarity
@hopeforia Sumpah ak menghabiskan semester tua tuh dalam kuliah daring......,-1
@nastasha05 huhuuu ya kaann... padahal lg kuliah daring... tp manajemen waktunya kok malah keteteran :(,1
Salam Swarna Bhumi!  [MENTARI Point 4 Nov'] Membereskan alat kuliah daring setelah selesai  Dosen :  @alio_jasipto  Anggota : @ikaaptr.s @natal_hutajulu3 @aprllianadamayanti @joshiahtobing @jscabp @monicaadella @diaryofnadila  #MENTARIITERA @mentari.itera  https://t.co/6dNIW7GX71,-1
"Dapet surat edaran, kuliah daring sampe tanggal 10sept 2021. Hm............",-1
"@radenrauf Enak bang, pagi pagi mendung enaknya tidur lagi dan eh keajaiban datang kuliah daring hari ini ga perlu zoom..",-1
Saat Tidak Ada Tugas di Kuliah Daring 2020  Rebahan❌❌❌ Hangout❌❌❌ Ngerjain tugas lain❌❌❌ OVERTHINKING✅✅✅,-1
4. Mematikan laptop dan alat kuliah setelah selesai kuliah daring . #MENTARIITERA . . Lecturer @RioDanasla Mentor @rafiirrr . . Group 2 members: @kebun_kata @hyunghyungan @Bagas_andk @WawanZega6 @drugskinn  @shxxptr_ @wtrmlnmeloon  https://t.co/mQF5J8aLzw,-1
"""Mematikan leptop dan membereskan alat kuliah daring"" Menghindari daya leptop akan habis jika dihidupkan tanpa dipakai dengan langsung mematikan leptop saat tidak digunakan serta membereskan alat kuliah supaya meja belajar terus terlihat rapih🌈 #MENTARIITERA  @sabar_fisika",-1
Point 4: Mematikan laptop/membereskan alat kuliah daring bila sudah selesai.  Dosen @Aditya_Rianjanu  Mentor @mutiarant   @gabriellmeisya1 @DzakyAlfaiz @rifkyyahya5 @IsabelaSinaga  @DemiUpload @Cindyst__ @carissa_rosee12 @Gilang71812886 #MENTARIITERA  https://t.co/2JWNTLSKVR,-1
Kegiatan Mentari November 1.Mematikan kipas angin 2.Mematikan lampu kamar 3.Mematikan kran air 4.Mematikan leptop dan membereskan alat kuliah daring #MENTARIITERA @sabar_fisika  @fauzi_tanra  Caption ada dikomentar~  https://t.co/ao24jPpuaB,1
Mentari bulan November Point 4 Merapikan alat kuliah daring bila sudah selesai Dosen  : @Aditya_Rianjanu Mentor: @mutiarant  @gabriellmeisya1 @DzakyAlfaiz  @rifkyyahya5 @farahfatika28 @DemiUpload @Cindyst__ @carissa_rosee12 @IsabelaSinaga @trianita_agustin12   #MENTARIITERA  https://t.co/CrOwl7OpYf,-1
Mewakili mahasiswi kuliah daring😭,-1
Tidak ada yang lebih menyenangkan dari kuliah daring selain ilmiah diputihkan wkwk 😂,-1
"mau kosongin foto profil, tapi inget lagi kuliah daring",-1
@auntjezzy Jarene unair kuliah daring,-1
Poin 4: Membereskan Alat Kuliah Daring  #MENTARIITERA  https://t.co/oYcn1WESQ5,1
Udah kuliah daring bisa sambil rebahan sm dasteran masi aja mau cabut kuliah,-1
"@ShopeeID Mau banget semuanya 😂😂. Oke karna pilih salah satu , aku mau pilih kotak B 🤩 uwoww laptop. Mau upgrade laptop baru, biar kuliah daring nya ga ngeleg 🥺. Mau kotak B Mau kotak B Mau kotak B Mau kotak B Mau kotak B Mau kotak B Mau kotak B",-1
Mentari poin 4: Mematikan laptop/membereskan alat kuliah daring bila sudah selesai.  #MENTARIITERA  https://t.co/Y3X5ucBClx,-1
"@scenesteale_r Tapi rara coba deh masuk dunia kuliah daring dengan modal hp 32gb tuh udah susah bgt harus rajin mindah file ke laptop, gimana mau menanggung kehidupan fangirling😭",-1
output kuliah daring adalah mahasiswa garing 😴,-1
Kuliah daring kok gini amat yak.,-1
Sebelum kuliah daring di minta memutar lagi Pagi - Ingat Pesan Ibu... Baik pak.,-1
Benci bgt kuliah daring sampe kapan si,-1
"Mungkin bnyk yang ga stuju, but I'm actually happy dgn sistem kuliah daring.",-1
Udah pasrah bgt gaksi kl tahun depan kita kuliah daring lagi🤡,-1
"Selama kuliah daring kenapa banyak temen kampus yang lamaran :) kan gue musti siap siap beli outfit kondangan jadinya :"")",1
Akibat model video klipnya dek @Anyaselalubenar. Para dosen jadi aktif ya Bund semenjak kuliah daring.  https://t.co/ef9Ky38JCM,1
"Pengen ngumpulin orang orang yang muncul cuma bilang ""Baik pak"" saat kuliah daring .",-1
"Ku mandi, eh liat jam udah 12.30, liat kamar elsa masih lebar matanya, pdhal jam 13.00 kuliah dan materi blm siap. Yodah kubiarin elsa toh dia diem aja. Pak mint berangkat kampus, ku kuliah daring. Elsa ngoceh sendiri. Biasanya kalo udh bosen nangis dia.",-1
"Dari pagi sampe sore natap layar laptop buat kuliah daring, sore ke malem melakukan hal yang sama buat ngerjain tugas. Khawatir banget aku nii sm mata. Mana udh bermata 4 :(",-1
@lailatulfitriq Sejak kuliah daring menyerang xixi,-1
"@aan__ wkwk tahun kemarin aku sampe udh gejala tipes, kerja - deadline kerja - ngampus - deadline ngampus - pas baru merem eh udah bunyi aja alarm, mau bilng thanks to covid karna udh buat jadi kuliah daring jadi ga capek bngt tapi ya gila aja gue bilang thanks to covid tapi thanks ya",1
Kuliah daring rawan mental breakdance :3,-1
[POINT 4] Mematikan laptop/membereskan alat kuliah daring. Dosen:@Aditya_Rianjanu  Mentor:@mutiarant  @DzakyAlfaiz @Cindyst__ @gabriellmeisya1 @IsabelaSinaga @rifkyyahya5 @farahfatika28 @carissa_rosee12 @Gilang71812886  #MENTARIITERA  https://t.co/uX8FMFagES,-1
•Point 4 : Mematikan laptop/membereskan alat kuliah daring bila sudah selesai.  https://t.co/UWLjFWgQfS,-1
Bosen kuliah daring terussss.. kgn kampus akutu,-1
Mo nangis kenapa bisa seperti ini kuliah daring😭😭 makin susah makin ga minat😭😭 karna daring gini😭😭,-1
"Agar kuliah daring tidak garing, saya menggunakan podcast sebagai salah satu metode. Mahasiswa baca buku/jurnal/hand out kuliah, lalu dibuat podcast. Link podcast diarsip dg twitter dan aplikasi sistem pembelajaran daring (Spada) kampus 🎙",-1
/jbrfess/ rek kampus kampus kalian ada nilai minimum buat pas waktu kuliah daring ga? Kalo unej brp ya? Setauku unej ada tapi aku aga lupa. Makasii yg uda jawab,1
"@literarybase Both. Kebetulan saat ini berbagi ruang belajar dengan adikku. Jam bacaku kadang sama dengan jam dia lagi kuliah daring atau main PUBG. Meja belajarnya persis sebelahan, ga ada masalah. Tetap fokus dan enjoy.",-1
kuliah daring? yo mung tak tinggal offcam😗,-1
"[cm] temen-temen, kalian kalo menghindari stress &amp; banyak pikiran saat kuliah daring gini gimana?",-1
(4) Membereskan Alat Kuliah Daring Bila Sudah Selesai  Dosen : Tika.khamidy  @RYuanas @notzaynmaliq @putriarizwanda @haniffajarrrr  #MENTARIITERA  #InstitutTeknologiSumatera  https://t.co/a3GPI0iFG1,-1
aku multitasking kuliah daring sambil main sama hoya,-1
1[Mematikan AC di kamar bila sudah tidak digunakan] 2[Mematikan lampu di kamar bila sudah tidak digunakan]   3[Menutup kran air  bila selesai digunakan] 4[Membereskan alat kuliah daring bila sudah selesai]  5[Membudayakan jalan/bersepeda dengan tetap menjaga protokol kesehatan],1
"udah mau tahun baru nih, bakalan kangen sama kuliah daring :(",-1
"Btw dulu gue ada minus kan 0,75 itu cek mata manual gitu. Terus kemaren gue cek mata lg pake alat ituuu, kok di bilang matanya normal :) emg bisa gitu yaaa.... puji Tuhan kalo gituuu :') terharu. Ketauan yak gue selama kuliah daring kgak menatap layar laptop lama lama 😄",-1
@collegemenfess mau kuliah daring/offline sama sama pengaruh ke kesehatan mental kalo gue,1
[cm] kuliah daring berpengaruh sama kesehatan mental kalian ngga?,1
3.membereskan alat kuliah daring Dosen pembingbing: @indah2325 Anggota  @innezN @fiesta_rizqi @ncepp29 @KudusAnnisa @SrYazid #MENTARIITERA  https://t.co/sQ9OxT6LxX,-1
morning guys!! semangat buat yg PAS hri ini yh! semangat jga buat yg lgi sklh &amp; kuliah daring! luv&lt;3,1
"Kuliah daring ganiat, tapi klo disuruh luring jg belom siap karna akuh masih buruk rupa.",-1
Mau kuliah daring aajaa. Sumpah makin lama makin ngerasa enakk kuliah kayak gini 😭,-1
#MENTARIITERA [ 4. Mematikan laptop/membereskan alat kuliah daring bila sudah selesai.]  °  • Dosen : { @rikzanurfaqih } • Teman Kelompok  @nonwilsee  @Deen_se  https://t.co/h02fRMlnDI,-1
"@butnotreal_ @jefrinichole_ Samaaaa, selama kuliah daring wajah jd bnyak penduduknya dari komedo jerawat dan kawan2😭",-1
"@tanyainrl gapernah boleh dari dulu sm mmh, padahal kalau maksa mah bisa aja krn pas sebelum kuliah daring kan merantau tp repot juga pas lg pulang ke rumah auto dimarahin wkwk",1
Kuliah daring membuatku benar-benar pikun😭👍,-1
yaAllah berikan kekuatan buat bertahan di kuliah daring jilid 2 ini😭,-1
Sejak kuliah daring punggungku sakit bgt,-1
Salam Swarna Bhumi!   Nama : Wahyu Sony Ardiyansah Prodi : Arsitektur  MENTARI ITERA NOVEMBER  4. Mematikan laptop/membereskan alat kuliah daring bila sudah selesai.  https://t.co/sPrsIW8CfP,1
@gumbtionsup pusing mikirin kuliah daring makin banyak tugas peb :( baru semester 5 udah sepusing ini hiks jadi kepikiran sanggupkah bikin skrispi :'),-1
"@shakkura39 Mau scene#3 alasan gabisa beli karna kuliah daring, dan gadapet uang saku. Biasanya bisa beli ya karna nyisihin uang saku itu ga jajan, tapi sekarang gadapet sama sekali. Mau minta juga gaenak :) #izone #IZONE_PANORAMA #IZONE_Onereeler #아이즈원  #アイズワン   @official_izone",1
Modal pembangunan instalasi hidroponik dan bioflok ia dapatkan dari hasil tabungannya selama kuliah daring dan hasil tabungan bidikmisi. #IPK #IPBPunyaKarya #PahlawanVersiLo,1
@orangaringkuy Bismillah mau beli kuota untuk keperluan kuliah daring,1
"@orangaringkuy mau pulsa, untuk perpanjangan paket internet hehe trus bisa ikutan kuliah daring",1
"@GaPakeKang_Din2 @KopiLaskar_ @Dee_01984 Sudah difollow semua. Sebelumnya terimakasih banyak sudah mau berbagi lewat giveaway ini semoga diberi ganti yg lebih berkali lipat&amp;semoga rezekinya dilancarkan selalu. Jika diizinkan menang, mau pilih hadiah pulsa buat beli kuota untuk kebutuhan kuliah daring. Semoga menang🙏",-1
Ya Allah yg maha pembagi rezeki izinkan hamba ini memenangkan GA dari Shopee ini... Spy kuliah daring ga make hp yg suka ngelag lagi😭... aamiinn,1
"kemarin ngeluh pas awal kuliah daring, skrg bntr lagi kuliah tatap muka, malah keenakan daring woey lahh 😭",1
kalian bisa minta bantu ga isi penelitian teman ku terkait kuliah daring ini?    https://t.co/5YFnXQDe0a  makasih ya teman-teman❤️  https://t.co/7gtqBvMKj8,-1
"Senin udah mulai UTS, selama kuliah daring ga ngapa-ngapain tau"" UTS aja👀",-1
"Pertemuan ke 1-4 dosen pada rajin masuk kuliah daring, 5-10 menit sebelumnya pasti udah mejeng di room zoom. Pertemuan 5 selanjutnya pada masuk telat 🥲",-1
Disaat  kuliah daring  Dosen: udah paham semua ?? Teman gue : iya pak /bu. Lahh gua  Mulut : iya pak /bu Otak ku be like:xxxxjysgsghshjaha Kadang suka heran dengan ini otak kok laload banget xixixi,1
"Alfriani tetap semangat mengikuti kuliah daring, walau ia juga harus bertarung dengan virus corona COVID-19 di dalam tubuhnya. #publisherstory  https://t.co/kaT3HmFp6W",-1
Gini rasanya kuliah daring😥😥 Respect bgt sm adik adik mahasiswa dan pelajar yg hadir kuliah daring dan kameranya nyala😭😭😭😭,-1
Selama kuliah daring Saking banyaknya tugas sampe lupa diri  https://t.co/LaROaEZYxr,-1
kuliah daring emg bikin ngantuk,-1
"Kalau aku dosenmu, asal kamu izin setelah isi kuota atau setelah jaringanmu pulih, tetap kuset absenmu ""hadir"" di kelas. Semoga tetap sabar ya menghadapi kuliah daring.",-1
"kuliah. ""kok gapaham, saat kuliah daring kalian ngapain?"" ""tidur""",1
@collegemenfess Prokrastinasi akademik selama kuliah daring,-1
"[cm] keadaan hp kalian selama kuliah daring ini gimana,sehat? me : kaya gini,padahal udah dipindahin datanya tapi ttp penuh dong,smpe wasapnya gabisa dibuka😭😭  https://t.co/lBL2lLGZae",1
"@txt_introvert sukanya sih ya gitu kuliah dirumah enak ga harus berinteraksi sama org dikampus, g sukanya karna kuliah daring jadi harus pulang kerumah sama ortu jadinya agak susah dapet ketenangan kalo lagi pengen sendiri karna dirumah ku rame, i mean i love my family but still i need space 😌",1
Malming kuliah daring 😌😌😌,-1
"Kuliah daring, KKN Online, PPL online, Materi ra mashok blas.  Mung modal bismillah ro istiqomah aku semproooo buk !",1
@Fir_Mech___ @ngalammenfess Yaallah iso isone😭😭 Efek kuliah daring ta iki😭,-1
Saturday night kali ini akan diisi dengan laporan jaga dan kuliah daring,-1
"@Telkomsel @Telkomsel Tolong dong min dipercepat perbaikannya. Dihubungin lagi pihak telkomsel di daerah sini. Udh seharian Telkomsel ga bisa internetan. Ini saya reply aja harus beli kartu seluler lain yg superlelet. Seharian ga bisa ikut kuliah daring, gabisa kirim tugas. Ga kasihan apa?",1
[Siaran Online Adkesma x Radio PPI Dunia]  Pastinya banyak kesan kuliah daring dari bidang studi yg beragam kann. Keknya asyik nih kalo kita obrolin brg mhs dri mancanegara di @_radioppidunia_ ( https://t.co/pS2N4hP8Gn)  Simak yuuk besok bangett!! #AdkestwitShare #BEMKMUGM2020  https://t.co/jonlVrOroU,1
Awalnya pas kuliah  daring pengin rasain cepet² kuliah offline giliran udah ngerasain pngn kuliah  daring aja tpi di rumah :(,1
"Chaos bgt kuliah daring ni gaada yg bener"" masuk otak :')",1
KANGEN KULIAH daring trs lama2 w gblk 😭  https://t.co/MLm6VHTEIO,-1
"kuliah daring, namun ukt kok ngga miring?  yoopo ki rekkk  #KawalPTNBHUNAIR  #UFOFISIPUNAIR2020",-1
"Edaran kuliah daring luring udah keluar. Dan sekarang, bingung mau pilih yang mana",-1
UKT naik padahal kuliah daring? mending uangnya buat saya beli kuota:((  #KawalPTNBHUNAIR #UFOFISIPUNAIR2020,-1
Kuliah daring/Online..  Tidak ada paket internet ... Tidak bisa isi absen...  #salamanakrantau,-1
"Drama kuliah daring episod 649281912837.  Karena ini sesi terakhir, jadilah w sisain 20menit terakhir buat closing. Udah ngomong panjang x lebar taunya mic auto mati gegara sinyal labil.   Ha ha. Ha ha ha. 🙂",-1
"Masa pandemi ini mengharuskan kita untuk kuliah daring, yang berarti kita cuma ngikutin perkuliahan di rumah aja ngga menikmati fasilitas kampus yang ada. Tapi kenapa UKT unair mahal sekali ya? Selain buat zoom unlimited, untuk apa lagi?? :D #KawalPTNBHUNAIR #UFIOFISIPUNAIR2020",-1
"Kebijakan PTN-BH membuat perguruan tingi dapat mengatur keuangan sendiri. Membuat UKT mahasiswa dapat dinaikan sesuka hati, tetapi uang uang itu untuk apa? Uang sebanyak itu dibuat apa? Toh sekarang kita kuliah daring?  #KawalPTNBHUNAIR #UFOFISIPUNAIR2020",1
"@txtdariunmul Kalian semua salah liat orang, jelas2 dia kuliah daring dari rumah. Ini dia lagi mabar sama ak, Hadeeehh...",-1
Rugi banget kuliah daring tuh,-1
Point 4 : Membereskan alat kuliah daring Dosen : @Aditya_Rianjanu  Mentor : @mutiarant  @Cindyst__ @IsabelaSinaga @gabriellmeisya1 @farahfatika28 @rifkyyahya5 @DemiUpload @DzakyAlfaiz @Gilang71812886  #MENTARIITERA  https://t.co/qwiCHMy5J8,-1
Tbtb aku pengen tau deh brp ya penurunan penggunaan kertas sejak mahasiswa kuliah daring? kan laporan pada soft file tuhhh😳😳,-1
"Panikgogi : Kuliah Daring, Tidak Seharusnya Garing  https://t.co/DRk8K1Opj5 lewat @Terakota   #KuliahDaring #KuliahOnline #Terakota",1
"Ya walaupun kuliah daring memuaskan tapi gua juga gak kuat dengerin ocehan emak setiap pagi,siang, sore, malem...",1
Selamat pagi dari aku yg mau kuliah daring😵😵😵  Bakal duduk didepan laptop brp jam lagi kali ini ya?🙄🙄  https://t.co/GB4KmXGnsU,1
Weekend kuliah daring:  Wisata❌❌❌ Shopping❌❌❌ Organisasi❌❌❌ Nugas ✅✅✅,1
"@man__inblue tentu tidak lupa, hanya saja dokumen digital dirasa lebih pantas untuk digunakan pada saat kuliah daring seperti ini",-1
Entah kenapa aku lebih seneng kuliah daring wkwkwk ternyata asik juga..,1
"Help RT kalo lewat🌌  Aku ada tugas untuk sebar kuesioner, jadi mau minta tolong sama mutualku yang... 1. Kuliah ngerantau 2. Pulang kampung semasa kuliah daring  Yang ngerasa cocok kaya yg diatas, dm aku yaa🤩 Minta tolong bangettt plisss😭💙",1
Kuliah daring bukane tambah pinter malah makin gatau apa apa :(,-1
"@snowflukest Badan lo punya hak buat istirahat. Elo kan seharian kuliah daring, nugas daring belom ngebulol OF, nonton capek lah elonya. Tapi sama elo engga dirasa aja",-1
yaallah sabtu pun kuliah. tah apa apa la model kuliah daring ni. heran betul aku,-1
"@ficofachriza_ Kalau aku sih, karna sekarang lagi kuliah daring pasti nomor 1 yang di butuhin adalah hp, nah hp kalau di pake terus pasti baterainya cepet habis dan bisa-bisa kuliah daring sambil charger. Pastinya gk bakal efektif apalgi kalau dosenya mau kelas pake zoom",-1
Capeknya kuliah daring pinternya ga nambah nambah,-1
Weekend Kuliah Daring:  Wisata❌❌❌ Shopping❌❌❌ Organisasi❌❌❌ Nugas✅✅✅,1
"Modal kuliah daring gur absen tok,mek ngumpulne tugas, rebahan trus,hp an trus scroll TikTok,ig,wa, nganti sukses,materi ra enek seng nyantol otak.. Ak nekat melu uas minggu ngarep :')",-1
Katanya kuliah daring  https://t.co/EBApl8PXxF,-1
"@mintchunie hu'um, kuliah daring gitu kan ituu",-1
"@52whaIe VC-an apalagi berdua jujur ga nyaman... Aku yang kuliah daring rame2 aja suka mager buat oncam, apalagi ini kalo vc doang 😭",1
Yeuuu kaga jadi.  Hayati dah capek kuliah daring,-1
kalian ngeluh kuliah daring? bagaimana nasib saya yg kuliah luring bareng sama kuliah daring? rasanya... ah mantapp  https://t.co/z0v70LE9XZ,1
Kok bisa orang orang bilang kuliah daring itu enak kok bisaaa enaknya dimana,-1
"berharap setelah uas teori iku libur, ternyata onok kuliah daring periode 2 gae matkul praktek sampe februari:). iki salah satu contoh ketika berharap lebih, malah dijatuhkan oleh realita wkwk.",-1
"Kalo bs link yg saya attached di atas ini jgn cuma di-like aja tp taruh jg di GDrive kalian. Takutnya pas kalian mau pake materi ini buat nugas, akun saya lg diprivate apa gmn wkw. Semangat adik2 yg skolah maupun kuliah daring! Kalian generasi hebat! Istirht sjnak klo lelah ya 👍🏼",1
"@MenjawabHanya @tubirfess Lg sibuk ngurus corona, kuliah daring sama sempro hehe",-1
"@restii_ done buk , mau beli kuota buk buat kuliah daring 😂😂 soalnya pakai zoom mulu bu mahal banget 😂😂😂 makasih udh bikin GA ini buk 💜💜💜💜💜",-1
Kuliah daring tiap ada temen yang ga sengaja oncam muka kocak pasti pada belomba buat foto 🤣,-1
"-diberikan peringatan oleh Pimpinan Kampus agar hal demikian tidak terulang kembali.   Namun sampai tulisan ini dibuat,  https://t.co/AVp6fgAtf4 masih mendapat informasi bahwa Profesor JF masih belum memberikan kenyamanan saat mengajar. Anehnya, saat kegiatan kuliah daring hendak-",-1
Kasus ini bermula pada Jumat (2/10) saat kegiatan kuliah daring pertama di Jurusan Ilmu Komunikasi. Seorang dosen berinisial JF yang sedang mengajar Statistika tersebut melontarkan umpatan yang seharusnya tidak dilakukan– goblok dan tolol kepada salah seorang mahasiswanya.,-1
"sepertinya teman"" ku sudah mulai ngelu dengan kuliah daring bung  begitu pula denganku  https://t.co/cK0Rx6QOO1",-1
"-11fess Kalian dalam seminggu ada berapa kali praktikum? Terus kalo kuliah daring gini, model praktikum kalian gimana?",-1
Kuliah daring enak ❎ Kuliah daring tersiksa tugas seabrek ☑️,-1
"Kalo males kuliah daring, plis lah ya jangan malah dilemparin ke gua. Capeknya triple. Gua ngerjain punya gua. Ngerjain punya lu. Giliran gak ngerti, nanya lagi ke gua. Satu dua kali ya wajar. Ini malah jadi kebiasaan. Gimana gua gak ngomel coba.",-1
"-11fess .. berapa persen rekap data presensi kalian di ocw?👀  /cara cek : ocw - presensi kuliah daring - ""rekap""  https://t.co/MZfoFWnLvx",-1
Poin (4) Membereskan Alat Kuliah Daring #MENTARIITERA (November)   Dosen pembimbing : @anggawidiatama  Daplok  : Rizki Fauzan Ridwan Mentor : Dewi Rana Safitri (cont-)  https://t.co/PnAuSHYjDt,1
Mengajar dibarengkan dengan kelas lain menggunakan 3 laptop. Diberikan pengantar materi A dengan jaringan putus-putus. Tugasnya materi B. Nilainya yang keluar C.   Sungguh berwarna sekali kuliah daring😊,1
"[cm] masa kuliah daring gini kalian ada kegiatan lain ga? Kayak buka usaha sendiri, kerja part time atau lainnya. Ngerasa struggle ga? Tolong ceritain dong pengalaman kalian selama di rumah aja  https://t.co/kdkkZLuyPi",1
"Bangun"" kirain telat ikutan kuliah daring eh ternyata ada notif kuliahnya libur, kebahagian sekali 😂",-1
Gua doang kayaknya yang benci sama kuliah daring for this period.,-1
POINT-4 [Mematikan Laptop sesudah kuliah Daring selesai] #MENTARIITERA #Kelompok3_42AsthiMartana Dosen : @Aditya_Rianjanu  Mentor : @mutiarant  @gabriellmeisya1 @farahfatika28 @carissa_rosee12 @IsabelaSinaga @rifkyyahya5 @DemiUpload @Gilang71812886 @DzakyAlfaiz  https://t.co/X0bhwDpN9w,-1
"Anugrah pagi-pagi itu lagi di luar kota buat waktu yg lumayan lama sambil kuliah daring, tiba-tiba dosen pada ngga bisa masuk apalagi dosen killer buat pertama kali nya ngga masuk :') bersyukur bgtt",1
Aku menganggap kuliah daring itu adalah podcast bertema ilmu pengetahuan,1
senang sekali menerapkan prinsip bertanyalah meskipun pertanyaanmu pertanyaan bego karena mending kelihatan bego daripada bego beneran ke depannya :D sekalian biar aktif aja sih disaat kuliah daring begini where our activity is considered on being active questioning this&amp;that,-1
@XingaDarat2020 Lagi bahas mata kuliah daring kok😂,-1
Ini kuliah daring kayak gini tugasnya bikin karya tulis semua. Pake ada revisi revisian segala lagi taik!,-1
Circle pertemanan gua makin sempit anjir grgr kuliah daring,-1
"[cm] sudah lelah dengan semua kegiatan daring ini, kuliah daring, kepanitiaan daring, dan lain lain. 😭🙏",1
"@aMrazing Semenjak kuliah daring, penyimpanan HP kentang ini abis :( harus puter otak, hapusin terus tiap hari foto yang gak penting...  https://t.co/2VSr82qQ8f",-1
Kenapa sih kalian kalau ngerjain tugas itu mepet mepet waktunya? Ga punya waktu ? mum[ung kuliah daring ini kan kalian diberi waktu banyak dirumah  yuk kerjain tugasnya #kaummolor #kaumbandawasa #kaumkebutsemalam,-1
"[CM] Jadi tadi pihak kampus ngeshare link buat voting kuliah daring/luring/blended gitu, dan disuruh ngasih alasannya. Aku pilih luring alias offline, soalnya lebih efektif aja gitu kan. Apalagi matkul yang ada hitung²annya, butuh penjelasan yg bener² jelas kaya (cont)",1
"this is cause kuliah daring, paketan sering abis. pinter kagak, gblk iya",-1
sdih bgt katanya kuliah daring smpe bulan juni....😓,-1
"Adik gw doang emang keknya, ada kuliah mlm, HP nya disimpen di kamar, dosennya ngoceh sendiri, dia nya pergi keluar rumah. Monmaap ini kuliah daring atau siaran langsung ya? 😭",1
Kuliah daring emang ngeri gan,-1
@131label___ Ih samaaa... semoga cepet selesai corona.. biar bisa beraktivitas kek sebelumnya😭.. gak enak bgt kuliah daring,-1
Boring dengan kuliah daring? Mungkin boring itu disebabkan kuliahnya garing.  Tentang kuliah daring agar tidak garing ~&gt;  https://t.co/DRk8K1Opj5 via @terakotaid,1
@sostelenak Ini apa karna efek udah bosen bgt kuliah daring gaksiii? Malah jadi stress gini ಢ‸ಢ,-1
"Kuliah daring emng ga ada enak2nya ya, emmh.",1
"#IniPantunPart1 Kuliah daring bikin sinting ( cakeupp ) Hey boy, can you buy me ring? ( Prokprokprok)",-1
@therapeuticsoul Kuliah daring emang bikin sinting,-1
"Dari pagi bruh sampai jam segini masihh harus kuliah daring, capek tau hp dan laptopnya panass:(( otak ku juga panass:(",-1
"Gua mikir, capek bgt sekolah/kuliah daring.. semoga kalian yg sekolah/kuliah diberikan kesehatan.. yang sering duduk didepan laptop jg semoga bisa istirahat sebentar.. karena aku jg gitu😔",1
"Halo, Communite!  HOTLINE 2004 sudah dimulai lagi, nih! Communite bisa cerita apa saja terutama keluhan selama kuliah daring dari jam 9 pagi sampai jam 9 malam nanti. Ayo langsung chat dan Commin akan jadi teman ngobrol kalian!  Yuk chat sekarang!",1
"Kuliah daring isinya cuman ngantuk sama nguap doang, Giliran dosen bilang ""cukup sampai disini perkuliahan kita hari ini"" jawab iya paknya paling kenceng sejagat raya  Astaghfirullah kamu, aku, kita semua",-1
Hp udah tua dipakai kuliah daring. Pas mau ngirim tugas trus waktunya mepet hp malah ngelag😡,-1
Iya kali gua capek sama kuliah daring. Capek bangeeeeeeet woooy.,-1
@ainunrozi Tidur ternikmat saat kuliah daring,1
"@FirstMediaCares permisi min, ini wifi saya kok tiba2 gabisa ya? apa sedang ada perbaikan di daerah mustika jaya? saya kesulitan mau kuliah daring jadi terhambat.. trims sebelumnya..",-1
"Kuliah Daring FPBS  PBSI UPGRIS  "" Persiapan Pilkada Kota Semarang""  https://t.co/s4ZtFlDhg0 lewat @YouTube @ShantySmart  @NandaGoeltom",-1
"@Garangan_GA kuliah,bisa buat beli pulsa utk kuliah daring, disisihin jg buat duit jajan biar gak minta ke ortu terus.Aku klau menang GA aja udah seneng banget,bersyukur krna bisa dipilih.Buat yg bca,brapapun yg kalian trima, jgn lihat dri nominalnya aja,liat dri ketulusan orng yg ngasihnya😭",1
"@qwertsy___ Ocw, login, presensi kuliah daring, rekap su asu",-1
@naturlijkperson neng presensi kuliah daring&gt;rekap,1
Mbolos kuliah daring sekali aja khawatir bgt dosenku dikira aku mati,-1
Ini lagi mati lampu terus adek gue mau kuliah daring tapi dia marah2 ke gue?? Maksudnya gimana??,-1
Teknologi&amp;Informasi Kuliah Daring UISI : Industri Media Informasi Saat Ini Sudah Bertransformasi ke Era Digital  https://t.co/hTBqfq5ShE,-1
@GDENTHU Wkwk emang kuliah daring membossn kan njiirr. Kdng gue kalau di tanya sring purapura ngelag wkwkwk,1
Nggak ngerti lagi sama kehidupan kuliah daring ini wkwkw mo nanges,-1
aku masih nyaman kuliah daring pls jujur blom siap kenal sama banyak orang baru hahaha tolong aku socially awkward😭,1
Tugas kelompok waktu kuliah daring kayak gini benar-benar membuat aku lelah,-1
@gizeann Terimakasih kk ngadain GA nya ..moga kk sehat selalu dan Rejeki lancar terus. Aku mauu bli paket bulanan kk. Kuliah daring membuat dompet ku kering krna bli paket terussss 😭😭😭,1
"sedikit tentang metode pareto yang aku tau dari kuliah daring dan youtube.  pareto itu kalau dari segi pengadaan suatu komoditi, adalah metode yang dipake dimana pengadaan suatu barang sebanyak 20% bakal bisa menghasilkan keuntungan sebesar 80%",-1
Hahah kuliah daring jadi garing :v,1
....semester depan kuliah daring lagi?,-1
"apa iya,, akibat dri kuliah daring jadi lama2 lupa hari ini hari apa?😳",-1
Padahal udh ada rencana ga ikur kuliah daring tapi tetep ae join,-1
"ga kebayang kalos emester depan masih kuliah daring, ga kuat diri ini kalo di rumah teyus☹",1
Kuliah Daring Otak Garing Tugas Merinding Mahasiswa Gringging  KLENGGER BOSS,1
"@winterbear_v13 Samaa pagi ini banyak bgt tugas sama kuliah daring, btw tetep semangat yhaaa",-1
"-rek kalian yang kuliah di uner, di fakultas kalian semenjak kuliah daring gini absen diitung ga? maksudnya kalo absen kurang bakal kena cekal uas gitu.",-1
rek fakultas kalian semenjak kuliah daring gini absen diitung ga? maksudnya kalo absen kurang bakal kena cekal uas gitu. -uner,-1
